numStages,elapsedTime,executorRunTime,executorCpuTime,peakExecutionMemory,numNodes,numEdges,datasetSize,graphType140,122763,555882,358913,4950,12031,71630973,693.5823526382446,erdos
140,125060,409011,276014,3400,10528,49278147,464.75814628601074,erdos
140,661808,2241523,1781488,6304,14224,91211309,907.9485902786255,erdos
140,458440,1359185,1047769,5886,12685,87428443,854.496319770813,erdos
140,131766,555233,384743,4709,12157,68122947,660.8529357910156,erdos
140,645215,2128953,1670199,6242,14737,90294367,903.5020685195923,erdos
140,118622,589718,375531,5271,13209,76270990,750.4894971847534,erdos
140,150392,933437,654805,6542,13902,94623948,938.6508836746216,erdos
140,128837,675582,452371,5634,13010,81483349,799.7905902862549,erdos
140,401821,1159194,861908,5434,13001,78672656,772.1026601791382,erdos
140,123800,727954,447392,6195,13577,89648752,886.0312881469727,erdos
140,125565,709574,450892,6148,13110,88989753,874.5682764053345,erdos
140,132617,447305,295724,3484,10175,50522034,472.96276473999023,erdos
140,131248,656404,445840,5438,12537,78724314,767.8662595748901,erdos
140,151605,698142,487869,5261,11819,76164774,735.0829544067383,erdos
140,135202,581281,385765,4981,11627,72098395,693.7051000595093,erdos
140,129304,452671,288489,3633,10158,52684598,493.0213565826416,erdos
140,130249,496452,324965,4222,11327,61201641,585.9048452377319,erdos
140,122994,426459,273512,3822,10554,55422835,522.9830150604248,erdos
140,136939,667421,452593,5227,12872,75636921,741.0787057876587,erdos
140,119533,635554,422293,5702,13144,82492462,811.0464582443237,erdos
140,132379,365073,235455,2888,10004,41870433,390.4762849807739,erdos
140,702575,3092445,2292437,7381,14176,106724545,1061.830174446106,erdos
140,131879,506899,327820,4159,10683,60284269,570.3164968490601,erdos
140,152531,471156,340548,3131,10141,45372737,424.44223976135254,erdos
146,594634,1712005,1399090,6485,13115,91687447,901.1296377182007,erdos
136,712738,2889806,2152189,7350,14141,106309636,1057.3083229064941,erdos
140,562710,2418355,1851183,6625,14796,95822354,959.3554363250732,erdos
140,238931,748996,535032,4747,11549,68670456,659.8693895339966,erdos
140,129455,498185,332957,4168,10819,60402772,572.946418762207,erdos
140,136699,798321,546992,6088,14012,88094334,874.9311323165894,erdos
140,650307,2618859,2023604,7843,14982,113446078,1137.8332901000977,erdos
140,127661,702560,448324,5959,13279,86238278,849.3051719665527,erdos
140,148334,542892,382388,3835,10129,55630544,520.2575998306274,erdos
140,121466,526774,352320,4801,12853,69434891,680.1434917449951,erdos
140,374999,1218326,881847,5542,13092,80147402,787.4890956878662,erdos
140,275105,514589,404568,3694,11457,53554736,513.8306512832642,erdos
140,477058,1578530,1208590,5759,13867,83303150,826.0462598800659,erdos
140,149869,415626,282277,2903,10054,42078497,392.8604040145874,erdos
140,112725,414030,276626,3846,11479,55636125,533.9962873458862,erdos
140,687601,2789468,2084394,7334,14085,106066804,1054.2587003707886,erdos
140,120692,714051,445899,6325,13972,91529660,908.6571283340454,erdos
140,123019,464935,305884,4030,10587,58388137,551.3306951522827,erdos
140,125532,428124,289175,3568,10659,51736479,489.2223882675171,erdos
140,419444,992039,781866,4568,12710,66105297,646.3053035736084,erdos
140,116507,429394,281281,3870,10421,56067720,527.632022857666,erdos
140,794208,3235217,2270462,7187,14086,103977025,1033.4992561340332,erdos
140,120225,580698,380481,5233,12858,75749655,742.0451583862305,erdos
140,612479,2033065,1525732,6275,14068,90809042,902.4438333511353,erdos
140,456915,1563487,1138631,5798,13244,83868026,825.6015911102295,erdos
140,121785,484732,320382,4281,10735,62055645,587.675371170044,erdos
140,125499,504385,333962,4510,12018,65270613,631.871205329895,erdos
140,119934,528183,352153,4697,11831,67954009,655.9612646102905,erdos
140,573404,2197139,1653526,6368,14702,92070814,920.9638538360596,erdos
140,118452,408778,254733,3662,10486,53117221,500.5357036590576,erdos
140,129790,642212,433580,5329,13315,77115056,759.778413772583,erdos
140,150717,561970,391619,3862,10654,55947286,528.9876403808594,erdos
140,122615,464534,292629,3993,10488,57875053,545.3947668075562,erdos
140,617709,2086130,1584195,6353,13531,91922562,908.0158166885376,erdos
140,123111,576818,399296,5186,11913,75076412,725.6314220428467,erdos
136,649448,2647817,1966217,8371,14964,121028466,1213.6653633117676,erdos
140,116150,480955,318347,4332,12439,62699404,610.7191905975342,erdos
140,109094,226141,153006,2091,8548,30301617,281.47009468078613,erdos
140,70868,126403,87296,1230,5939,17812985,163.5264654159546,erdos
140,64205,114639,84655,1076,5833,15567766,142.81655597686768,erdos
140,149756,462169,331317,3140,10243,45509257,426.6671886444092,erdos
140,94054,173327,121428,1735,7089,25159084,232.4208860397339,erdos
140,126307,518582,332609,4567,11507,66125183,634.9694719314575,erdos
140,120419,362448,234799,3135,10568,45421092,428.7265100479126,erdos
140,62373,110177,75950,1079,5470,15646626,143.16379642486572,erdos
140,117592,345792,228630,3042,10077,44071958,411.6832790374756,erdos
140,46243,78967,57904,753,5060,10909039,99.47195339202881,erdos
140,59299,98011,73677,1022,5412,14801317,135.36585330963135,erdos
140,123490,365364,238615,3116,9721,45154252,420.7885322570801,erdos
140,76942,139652,98116,1391,6710,20153845,185.84530067443848,erdos
140,110372,246888,171724,2292,8543,33223140,308.60769844055176,erdos
140,108049,190857,140452,1691,6964,24515253,226.34292125701904,erdos
140,98469,160736,123899,1470,6431,21284613,195.97809600830078,erdos
92,48494,84982,42714,1570,8083,22758922,211.05812454223633,rgg
88,22365,35581,19247,569,5059,8223866,74.9816312789917,rgg
92,62202,135960,66235,2311,9510,33514575,312.16840076446533,rgg
92,33262,54682,29130,966,7237,13975686,129.1654510498047,rgg
