numStages,elapsedTime,executorRunTime,executorCpuTime,peakExecutionMemory,numNodes,numEdges,datasetSize,graphType
6,77642,147411,92257,487,15374,21154624,212.93563556671143,sw
6,103760,283712,160531,769,18187,33318584,342.4763927459717,sw
6,77825,154411,93390,501,10869,21803214,207.00850772857666,sw
6,80261,159558,96473,489,14372,21213072,211.48248386383057,sw
6,50150,98134,63175,326,12209,14064768,136.54726886749268,sw
6,78261,157534,94688,528,13043,22929594,225.15468788146973,sw
6,95262,229162,123454,628,21075,27144600,283.347620010376,sw
6,85227,167417,104449,549,17602,23833108,244.0578374862671,sw
6,78308,156156,98361,522,15047,22630688,227.1161985397339,sw
6,93138,250466,142803,737,21584,31987488,334.66110038757324,sw
6,61391,123318,76265,397,11360,17244480,165.17809677124023,sw
6,72040,143315,87569,449,13687,19490288,192.87601280212402,sw
6,77904,153616,91525,484,14924,20983144,210.34238624572754,sw
6,106228,278560,142250,732,17833,31707074,325.1802797317505,sw
6,96598,227146,129935,637,16987,27586888,281.29580211639404,sw
6,72372,136692,82654,443,13993,19198396,190.63653087615967,sw
6,54565,106091,69569,355,16836,15354432,156.38880157470703,sw
6,45827,90019,56669,282,10824,12231120,116.03027629852295,sw
6,86914,214162,126001,667,19172,28911376,298.90895557403564,sw
6,72304,145817,87143,472,10147,20557822,192.3351411819458,sw
6,41897,80817,52473,266,11485,11507970,110.46552181243896,sw
6,52199,96901,63182,357,14971,15420130,154.6424388885498,sw
6,61160,121119,79048,399,10906,17362352,164.9584436416626,sw
6,84874,174681,104438,552,11272,24009360,229.63002967834473,sw
6,70491,140470,87375,468,15173,20271128,203.67121505737305,sw
6,104882,220204,112160,607,13767,26405106,261.53640937805176,sw
6,92192,222836,129168,656,13815,28431270,281.7616996765137,sw
6,45934,90184,56574,298,11529,12866364,123.59999465942383,sw
6,99758,264499,145354,744,18923,32282638,333.29511070251465,sw
6,116395,419092,196146,1009,21867,43734000,458.1181592941284,sw
6,57568,112526,69088,368,15418,15911376,160.22170543670654,sw
6,58846,118217,77085,412,11295,17891280,171.1848201751709,sw
6,39567,76412,48522,254,9704,11023744,102.72291088104248,sw
6,94930,235329,134896,702,18745,30404390,313.5788240432739,sw
6,59091,114803,70354,367,17380,15850560,162.07094764709473,sw
6,65369,125164,75949,413,9787,17988506,167.6609649658203,sw
6,74962,142927,90223,447,15092,19408312,194.85777950286865,sw
6,74556,148685,89992,503,10632,21923184,207.19772243499756,sw
6,70682,140668,87755,474,11799,20577456,198.53156280517578,sw
6,65088,128045,81466,428,10647,18632250,176.14598941802979,sw
6,119497,340200,162987,827,18297,35862120,368.87683391571045,sw
6,60289,120077,73925,402,10585,17465250,164.90948390960693,sw
6,115951,404293,179021,949,21158,41088836,429.0725803375244,sw
6,93843,248939,139914,725,20363,31399746,326.661789894104,sw
6,38231,73524,46893,243,9153,10525950,97.94702339172363,sw
6,96686,246004,142066,713,21220,30853880,322.2831735610962,sw
6,47926,94141,61023,318,11011,13807794,131.44523906707764,sw
6,60777,118347,77946,386,15918,16713900,169.02541637420654,sw
6,64120,126184,80027,421,13679,18220428,180.28906536102295,sw
6,108181,299061,156262,803,15968,34842176,352.49732971191406,sw
6,87286,217528,125249,670,15005,29019670,291.12073516845703,sw
6,47531,91667,60127,319,13490,13759800,135.85546588897705,sw
6,86244,169832,100893,526,12607,22843884,223.0270538330078,sw
6,42891,83554,53076,285,11824,12320608,118.91731834411621,sw
6,125415,356654,169391,889,18013,38583846,396.16423416137695,sw
6,61021,121726,77405,388,12240,16793280,163.1095609664917,sw
6,76080,152384,92447,466,11353,20253752,193.98411655426025,sw
6,45942,88644,57092,307,13639,13257108,131.11837005615234,sw
6,51765,102430,66219,340,10029,14782746,137.93878936767578,sw
6,77593,153820,95349,491,19941,21296988,221.09406757354736,sw
6,77476,154537,93361,502,15745,21791080,220.048095703125,sw
6,123487,351287,171180,869,19891,37673554,391.0026750564575,sw
6,107549,264995,141267,698,18446,30251440,311.4422492980957,sw
6,92022,218281,130486,643,21846,27831804,291.51342391967773,sw
6,87882,176162,105744,559,14478,24265128,242.17566776275635,sw
6,71460,135723,82453,425,13295,18426870,181.50584316253662,sw
6,103571,247046,131473,669,17313,28981962,296.1977071762085,sw
6,63744,122975,77877,446,9745,19392550,180.72901248931885,sw
6,94377,235906,143981,699,15862,30296420,306.2464141845703,sw
6,56024,107671,70952,397,17992,17164368,176.2144317626953,sw
6,49916,97952,63083,312,11926,13476380,130.2799415588379,sw
6,33414,64685,43635,219,9840,9485760,88.42223644256592,sw
6,48724,94802,60633,317,9864,13789872,128.5512228012085,sw
6,98430,259613,146421,738,15839,31994780,323.3518934249878,sw
6,61158,122254,77222,414,9854,18013112,167.9166955947876,sw
6,66753,133818,81612,413,10019,17974086,167.68231678009033,sw
6,44649,87560,56573,262,10788,11370552,107.78897190093994,sw
6,78163,155756,92408,495,12059,21489138,208.16262435913086,sw
6,97326,251527,133274,705,18727,30525010,314.7886791229248,sw
6,70748,137488,88190,450,19152,19496736,201.54529857635498,sw
6,99223,203362,112576,626,12734,27174356,265.7691926956177,sw
6,82500,164083,102414,550,17021,23897484,243.72890758514404,sw
6,104672,356520,183683,959,21755,41595560,435.5066022872925,sw
6,69361,140730,81553,421,10984,18321312,174.32442474365234,sw
6,47172,91964,61066,295,12596,12721960,124.18732833862305,sw
6,77372,155663,94349,504,13197,21880626,215.27298164367676,sw
6,121141,431908,192756,986,20892,42703248,445.38460540771484,sw
6,44587,87866,54011,263,9390,11418240,106.31808757781982,sw
6,66443,132065,86422,426,10680,18519120,175.1897439956665,sw
9,622511,2617398,1077167,2638,14450,114576317,1143.1954202651978,erdos
6,483862,2346255,992794,2405,14253,104376207,1039.3014039993286,erdos
10,704249,2818767,1454567,3325,18232,144286832,1483.5607929229736,erdos
8,202094,644348,333220,1727,13735,74986802,742.4612894058228,erdos
6,342245,1322735,607839,1830,13589,79437854,785.2154359817505,erdos
6,370282,1482516,730180,2032,16153,88234877,894.0215911865234,erdos
6,441598,2236966,1022108,2309,16802,100239091,1020.7212772369385,erdos
