numStages,elapsedTime,executorRunTime,executorCpuTime,peakExecutionMemory,numNodes,numEdges,datasetSize,graphType
16,23011,39901,20924,243,9153,10525950,97.94702339172363,sw
16,55768,132817,60735,1428,21220,30853880,322.2831735610962,sw
16,27827,49387,25611,478,11011,13807794,131.44523906707764,sw
16,37438,67711,31844,582,15918,16713900,169.02541637420654,sw
16,37458,68076,35789,633,13679,18220428,180.28906536102295,sw
16,60752,157241,67415,1206,15968,34842176,352.49732971191406,sw
16,50724,109424,52343,1341,15005,29019670,291.12073516845703,sw
16,28528,50389,25771,480,13490,13759800,135.85546588897705,sw
16,47225,88852,42769,1055,12607,22843884,223.0270538330078,sw
16,26424,46640,24937,573,11824,12320608,118.91731834411621,sw
16,61701,173143,70089,1637,18013,38583846,396.16423416137695,sw
16,34863,63259,32969,584,12240,16793280,163.1095609664917,sw
16,40885,75828,38466,933,11353,20253752,193.98411655426025,sw
16,28023,49649,26623,463,13639,13257108,131.11837005615234,sw
16,30374,54358,28960,682,10029,14782746,137.93878936767578,sw
16,51144,88124,44526,740,19941,21296988,221.09406757354736,sw
16,46557,86827,43976,1007,15745,21791080,220.048095703125,sw
16,55310,146468,69814,1307,19891,37673554,391.0026750564575,sw
16,55181,128037,59751,1400,18446,30251440,311.4422492980957,sw
16,51970,111650,56155,1290,21846,27831804,291.51342391967773,sw
16,49229,91687,45333,1120,14478,24265128,242.17566776275635,sw
16,37697,69404,33931,640,13295,18426870,181.50584316253662,sw
16,52468,118096,59549,1341,17313,28981962,296.1977071762085,sw
16,34419,61576,34319,780,9745,19392550,180.72901248931885,sw
16,53102,118532,57495,1399,15862,30296420,306.2464141845703,sw
16,36071,65384,33465,597,17992,17164368,176.2144317626953,sw
16,27504,49196,26103,470,11926,13476380,130.2799415588379,sw
16,19846,34061,18933,273,9840,9485760,88.42223644256592,sw
16,28996,52061,26467,318,9864,13789872,128.5512228012085,sw
16,50301,122226,59126,1108,15839,31994780,323.3518934249878,sw
16,33824,57081,33103,623,9854,18013112,167.9166955947876,sw
16,36849,66266,34368,621,10019,17974086,167.68231678009033,sw
16,24634,43688,23068,526,10788,11370552,107.78897190093994,sw
16,44477,82109,37107,993,12059,21489138,208.16262435913086,sw
16,54639,124560,60127,1413,18727,30525010,314.7886791229248,sw
16,39847,72883,36943,903,19152,19496736,201.54529857635498,sw
16,49795,90733,46936,940,12734,27174356,265.7691926956177,sw
16,49605,92067,42978,828,17021,23897484,243.72890758514404,sw
16,66441,209376,97408,1923,21755,41595560,435.5066022872925,sw
16,39336,72070,34600,633,10984,18321312,174.32442474365234,sw
16,26386,47296,25274,444,12596,12721960,124.18732833862305,sw
16,45123,83558,39659,759,13197,21880626,215.27298164367676,sw
16,62251,202313,90740,1973,20892,42703248,445.38460540771484,sw
16,22088,37970,21902,395,9390,11418240,106.31808757781982,sw
16,38118,70315,33160,639,10680,18519120,175.1897439956665,sw
16,309372,1296916,586819,4851,14450,114576317,1143.1954202651978,erdos
16,281643,1310652,599948,4810,14253,104376207,1039.3014039993286,erdos
16,300774,1392847,657335,6036,18232,144286832,1483.5607929229736,erdos
16,203471,544976,242887,3295,13735,74986802,742.4612894058228,erdos
16,170480,487709,239459,3661,13589,79437854,785.2154359817505,erdos
16,279548,940844,405287,4066,16153,88234877,894.0215911865234,erdos
16,270833,1181921,560485,4619,16802,100239091,1020.7212772369385,erdos
16,288582,1395292,644171,5820,17732,126213126,1293.5534715652466,erdos
16,194393,591291,241441,3551,15598,77104205,777.6417398452759,erdos
16,308504,1564772,739197,6389,17828,141490616,1451.044843673706,erdos
16,212483,723702,367607,3863,15972,83824060,848.0729875564575,erdos
16,248964,999904,446801,4214,14748,91422623,914.894190788269,erdos
16,210518,805866,405330,3974,14854,86255952,864.0742330551147,erdos
16,245173,895950,383306,3698,16348,80196267,813.815731048584,erdos
16,328847,1446939,645557,4370,16055,94838791,960.161997795105,erdos
16,369904,1485840,633572,4667,16005,101292892,1025.0897045135498,erdos
16,284530,1304842,567685,4612,15643,100109814,1010.0517978668213,erdos
16,200685,669152,309390,3947,14660,85692055,856.8026475906372,erdos
16,285880,1336183,548929,5209,17034,113066652,1153.2949237823486,erdos
16,204277,774245,357249,3769,15973,81724694,826.8411598205566,erdos
16,300466,1202763,514893,4676,15709,101502434,1024.6868476867676,erdos
16,183884,660045,339337,3314,14402,71936020,717.4008502960205,erdos
16,133535,465792,221376,3566,14484,77436556,772.8907079696655,erdos
16,214858,726618,292855,3305,13899,71758744,711.8117399215698,erdos
16,213225,656863,294257,2795,13853,60676894,601.5682859420776,erdos
16,216947,1013198,450375,5281,16066,114618698,1160.525538444519,erdos
16,249069,1168826,542024,5111,15983,110929900,1122.4247913360596,erdos
16,201606,809601,330555,3938,16500,85451503,868.1731357574463,erdos
16,206634,939373,500323,4327,17555,93855520,960.7945766448975,erdos
16,217790,1007006,489441,4056,16132,97490954,987.6292362213135,erdos
16,262512,1052750,448057,3866,13770,83923404,831.2744932174683,erdos
16,237429,893109,367491,4066,14619,88269914,882.228946685791,erdos
16,170234,611014,286430,3717,16013,80653744,816.2815980911255,erdos
16,266225,1261118,545329,5067,17719,109925855,1126.5378684997559,erdos
20,92706,217815,110406,2357,15958,51196206,518.0029726028442,rgg
20,173593,385762,174515,1924,16042,41751004,422.6394329071045,rgg
